,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
Bubble Sort,7.439,32.285,220.046,218.053,811.751,569.419,2792.989,3423.154,6400.898,7744.85,10089.661,14987.566,20214.171
Counting Sort,0.1,0.321,0.4,0.4,0.419,0.8,1.244,2.118,2.218,3.401,4.248,4.603,6.059
Insertion Sort,0.571,4.545,21.911,45.929,82.18,151.377,1229.174,2086.914,2503.836,3786.267,5529.217,7669.514,10512.75
Merge Sort,0.5,1.635,3.234,5.484,9.493,26.763,56.224,41.165,49.354,89.443,117.188,122.838,91.186
Quick Sort,0.452,0.78,2.335,3.96,5.494,6.617,14.964,26.746,40.503,71.776,84.733,110.698,138.122
